# time of execution: 2022-07-22 16:23:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, 1.0]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=2
# dx=[2.856e-10, 3.6e-10]	dy=[2.856e-10, 3.6e-10]	dz=[2.856e-10, 5.8e-10]	[m]
# atoms per unit cell:[2, 7.5]
# asf=[0.035, 0.12]
# Jint=0[J]
# Hex=0[J]
# gep=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AC3B0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796450>][W/m^3/K]
# factor cv_el=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AA4F0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796540>][J/m^3/K^2]
# cv_ph=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97A86D0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796860>][J/m^3/K]
# Tc=[1041, 293][K]
# T_Deb=[396, 160][K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
1.13	[array([0.99999789]), array([0.99888468])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.14	[array([0.99999787]), array([0.99887494])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.15	[array([0.99999786]), array([0.99886521])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.16	[array([0.99999784]), array([0.99885547])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.17	[array([0.99999782]), array([0.99884574])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.18	[array([0.99999781]), array([0.99883601])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.19	[array([0.99999779]), array([0.99882628])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.2	[array([0.99999777]), array([0.99881656])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.21	[array([0.99999776]), array([0.99880684])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.22	[array([0.99999774]), array([0.99879712])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.23	[array([0.99999772]), array([0.9987874])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.24	[array([0.99999771]), array([0.99877768])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.25	[array([0.99999769]), array([0.99876797])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.26	[array([0.99999768]), array([0.99875826])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.27	[array([0.99999766]), array([0.99874855])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.28	[array([0.99999764]), array([0.99873884])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.29	[array([0.99999763]), array([0.99872914])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.3	[array([0.99999761]), array([0.99871944])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.31	[array([0.9999976]), array([0.99870974])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.32	[array([0.99999758]), array([0.99870004])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.33	[array([0.99999756]), array([0.99869034])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.34	[array([0.99999755]), array([0.99868065])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
